attendance_rate,late_rate,financial_issues,overdue_invoice_count,engagement_score,semester,classes_enrolled,dropout_risk
0.866,0.121,0,0,7.6,6,4,0
0.743,0.436,0,0,6.7,5,4,0
0.91,0.089,0,0,7.4,4,2,0
0.863,0.285,0,0,7.2,8,2,0
0.431,0.217,0,0,3.3,6,5,0
0.925,0.34,1,4,8.8,5,2,0
0.678,0.296,0,0,6.2,3,3,0
0.865,0.168,0,0,5.7,4,3,0
0.927,0.118,0,0,8.6,5,3,0
0.523,0.408,1,3,6.9,1,3,1
0.377,0.395,0,0,6.1,5,5,0
0.46,0.225,0,0,4.2,6,4,0
0.599,0.193,0,0,4.1,3,3,0
0.873,0.074,0,0,7.3,2,2,0
0.903,0.339,0,0,5.9,8,3,0
0.305,0.437,1,2,5.6,2,5,1
0.658,0.079,0,0,4.7,5,2,0
0.592,0.093,1,3,4.6,2,3,1
0.455,0.096,0,0,4.4,5,4,0
0.384,0.142,0,0,3.8,3,2,0
0.536,0.196,1,2,6.4,2,2,1
0.96,0.178,0,0,7.6,6,4,0
0.526,0.068,1,4,3.8,6,2,1
0.663,0.432,0,0,5.0,1,3,0
0.792,0.101,1,3,6.8,5,2,1
0.555,0.184,0,0,3.9,2,3,0
0.98,0.117,0,0,8.3,6,4,0
0.974,0.362,0,0,8.1,7,1,0
0.476,0.115,0,0,5.7,3,4,0
0.648,0.215,0,0,7.6,8,3,0
0.511,0.484,0,0,6.7,3,5,0
0.499,0.155,0,0,6.8,7,4,0
0.326,0.227,0,0,2.9,7,5,0
0.727,0.101,1,2,4.9,1,5,1
0.652,0.179,0,0,5.1,3,3,0
0.336,0.278,0,0,5.6,3,3,0
0.495,0.073,0,0,6.9,2,1,0
0.936,0.155,0,0,9.1,5,2,0
0.468,0.238,0,0,3.2,4,4,0
0.401,0.039,0,0,6.2,8,3,0
0.643,0.266,1,1,5.5,3,4,1
0.99,0.216,1,4,6.0,8,5,0
0.469,0.127,0,0,4.6,8,2,0
0.77,0.197,0,0,4.8,8,1,0
0.833,0.431,0,0,7.2,3,4,0
0.466,0.06,0,0,4.2,4,2,0
0.81,0.198,0,0,6.8,3,1,0
0.557,0.292,0,0,5.8,2,4,0
0.743,0.107,0,0,7.9,2,2,0
0.743,0.149,0,0,7.1,4,3,0
0.675,0.341,0,0,5.8,6,4,0
0.363,0.175,1,2,5.5,3,2,1
0.885,0.101,0,0,8.9,6,1,0
0.525,0.08,1,3,3.6,8,2,1
0.431,0.297,1,1,4.7,3,3,1
0.329,0.5,0,0,3.1,5,4,1
0.714,0.236,0,0,4.5,3,4,0
0.774,0.282,0,0,7.3,2,4,0
0.312,0.131,1,3,5.3,1,3,1
0.658,0.081,1,2,4.6,7,1,1
0.459,0.065,0,0,6.0,1,4,0
0.752,0.274,0,0,7.9,1,1,0
0.422,0.365,1,1,6.2,1,2,1
0.784,0.155,0,0,5.8,7,1,0
0.571,0.132,1,1,7.0,6,1,1
0.956,0.084,1,4,7.0,7,4,0
0.396,0.33,0,0,4.6,6,5,0
0.539,0.182,0,0,3.4,7,5,0
0.379,0.16,0,0,2.5,7,3,0
0.947,0.168,0,0,8.6,3,3,0
0.914,0.331,0,0,7.3,6,5,0
0.481,0.147,1,2,3.9,3,2,1
0.762,0.194,1,1,5.3,5,4,0
0.872,0.293,1,2,7.9,3,4,0
0.689,0.272,0,0,4.1,1,2,0
0.671,0.331,1,1,7.2,4,2,1
0.469,0.103,0,0,3.1,4,5,0
0.365,0.245,0,0,3.0,2,3,0
0.928,0.239,0,0,7.1,2,2,0
0.93,0.203,0,0,7.5,8,3,0
0.743,0.357,1,3,5.9,3,1,1
0.537,0.38,0,0,4.5,7,4,0
0.544,0.081,0,0,7.1,7,5,0
0.808,0.105,0,0,7.4,4,4,0
0.928,0.432,0,0,5.7,1,5,0
0.921,0.102,0,0,7.2,6,1,0
0.846,0.031,0,0,8.6,1,4,0
0.749,0.058,0,0,5.7,8,1,0
0.359,0.237,0,0,2.5,1,5,0
0.413,0.263,1,4,5.5,3,2,1
0.929,0.096,0,0,8.0,3,4,0
0.725,0.205,0,0,6.6,5,1,0
0.306,0.076,0,0,2.1,8,4,0
0.371,0.176,0,0,2.8,1,4,0
0.764,0.045,0,0,7.1,7,4,0
0.304,0.208,0,0,2.7,7,3,0
0.413,0.3,1,1,4.5,8,1,1
0.684,0.332,0,0,6.3,1,1,0
0.784,0.219,1,3,5.8,3,4,1
0.756,0.278,1,3,8.3,3,2,1
0.457,0.106,0,0,6.1,5,4,0
0.799,0.1,0,0,7.7,5,3,0
0.466,0.198,0,0,3.1,2,5,0
0.528,0.178,1,1,3.6,8,3,1
0.823,0.137,1,1,6.9,4,2,0
0.755,0.39,0,0,5.2,1,4,0
0.894,0.008,1,2,9.3,8,1,0
0.76,0.16,0,0,5.2,7,4,0
0.698,0.053,1,2,6.1,1,2,1
0.366,0.383,1,4,3.6,5,1,1
0.557,0.236,0,0,5.9,5,3,0
0.486,0.136,0,0,3.4,2,5,0
0.471,0.079,0,0,4.5,4,5,0
0.981,0.222,0,0,7.0,2,4,0
0.575,0.066,1,2,7.0,7,3,1
0.924,0.247,0,0,5.7,4,2,0
0.742,0.455,0,0,8.1,6,5,0
0.856,0.408,0,0,8.5,1,3,0
0.652,0.094,1,4,5.1,2,4,1
0.704,0.409,0,0,7.4,5,1,0
0.645,0.033,0,0,4.0,2,4,0
0.437,0.155,0,0,6.5,6,4,0
0.806,0.098,1,4,6.9,2,3,1
0.497,0.029,1,4,4.2,1,5,1
0.317,0.307,0,0,3.4,6,3,0
0.752,0.335,0,0,4.8,8,1,0
0.424,0.333,0,0,6.5,8,3,0
0.958,0.184,0,0,5.9,8,2,0
0.968,0.227,0,0,8.4,5,4,0
0.94,0.454,1,4,7.4,5,5,0
0.559,0.166,0,0,7.2,8,1,0
0.311,0.223,1,2,2.8,8,4,1
0.95,0.137,0,0,7.8,8,3,0
0.6,0.353,0,0,5.5,3,2,0
0.977,0.343,0,0,8.7,8,3,0
0.975,0.245,0,0,6.1,6,4,0
0.897,0.183,0,0,6.2,3,1,0
0.506,0.23,0,0,3.9,3,5,0
0.57,0.228,0,0,6.4,1,4,0
0.896,0.047,0,0,6.1,2,1,0
0.522,0.228,0,0,5.4,5,4,0
0.419,0.404,1,1,3.4,5,2,1
0.69,0.103,0,0,7.6,2,3,0
0.955,0.229,1,2,9.5,5,5,0
0.787,0.19,0,0,6.8,2,1,0
0.699,0.159,1,1,5.6,6,5,1
0.368,0.326,0,0,3.1,1,5,0
0.731,0.126,1,1,4.6,8,5,1
0.993,0.297,0,0,7.0,1,1,0
0.398,0.229,0,0,5.0,7,1,0
0.663,0.062,0,0,6.1,1,5,0
0.914,0.135,0,0,9.3,2,3,0
0.819,0.193,0,0,6.5,7,4,0
0.788,0.112,0,0,7.5,2,5,0
0.792,0.193,0,0,6.7,8,2,0
0.552,0.176,1,4,5.4,4,5,1
0.506,0.134,0,0,4.1,7,1,0
0.867,0.081,0,0,7.0,8,4,0
0.867,0.263,0,0,7.1,8,2,0
0.907,0.005,0,0,8.3,5,4,0
0.939,0.166,0,0,9.4,5,4,0
0.658,0.284,0,0,5.3,4,2,0
0.651,0.305,1,2,4.1,4,5,1
0.859,0.157,1,3,7.1,1,5,0
0.755,0.461,1,3,6.7,8,5,1
0.791,0.068,0,0,5.4,4,3,0
0.857,0.174,1,2,8.2,2,5,0
0.923,0.165,0,0,9.5,8,2,0
0.537,0.056,0,0,7.0,3,3,0
0.563,0.197,0,0,4.2,2,5,0
0.366,0.18,0,0,5.7,7,3,0
0.705,0.073,0,0,7.0,4,2,0
0.325,0.224,0,0,3.8,5,5,0
0.626,0.043,0,0,5.9,2,1,0
0.68,0.274,0,0,7.5,5,2,0
0.501,0.125,0,0,4.9,2,4,0
0.714,0.5,0,0,5.8,5,4,0
0.321,0.11,0,0,3.9,6,2,0
0.326,0.178,0,0,4.3,2,4,0
0.876,0.238,1,3,6.0,7,2,1
0.552,0.137,0,0,6.9,5,1,0
0.389,0.296,0,0,5.0,3,2,0
0.666,0.198,0,0,6.5,7,5,0
0.839,0.027,0,0,5.4,1,5,0
0.451,0.058,1,4,5.1,2,3,1
0.736,0.322,0,0,4.9,3,4,0
0.36,0.206,0,0,2.5,1,4,0
0.336,0.157,1,2,4.1,2,2,1
0.672,0.199,0,0,5.6,3,4,0
0.678,0.058,0,0,6.4,3,5,0
0.746,0.148,0,0,4.8,7,1,0
0.808,0.195,0,0,6.6,6,2,0
0.983,0.5,0,0,6.6,3,4,0
0.661,0.149,0,0,7.9,6,5,0
0.526,0.152,1,3,5.4,4,3,1
0.857,0.197,0,0,7.9,7,4,0
0.49,0.184,0,0,4.2,8,1,0
0.607,0.15,0,0,4.0,5,1,0
0.355,0.325,1,3,6.0,7,4,1
0.318,0.147,1,1,3.1,1,4,1
0.974,0.325,0,0,7.5,5,5,0
0.885,0.163,0,0,7.9,5,4,0
0.787,0.297,0,0,4.8,8,3,0
0.586,0.226,0,0,6.8,6,5,0
0.421,0.159,0,0,4.7,8,2,0
0.41,0.062,0,0,3.6,8,3,0
0.475,0.469,0,0,3.1,5,5,0
0.684,0.155,1,1,4.8,3,5,1
0.8,0.215,0,0,8.4,6,1,0
0.762,0.113,1,2,7.3,5,5,0
0.496,0.123,0,0,4.0,6,3,0
0.968,0.304,0,0,6.1,4,4,0
0.817,0.388,0,0,7.7,6,3,0
0.688,0.274,0,0,6.4,2,2,0
0.728,0.176,0,0,6.0,3,5,0
0.594,0.271,0,0,5.0,1,5,0
0.473,0.136,0,0,3.7,2,5,0
0.549,0.198,0,0,6.0,2,5,0
0.83,0.088,1,1,8.9,8,1,0
0.31,0.087,0,0,2.6,8,1,0
0.381,0.26,0,0,4.7,2,4,0
0.332,0.233,0,0,3.7,5,5,0
0.329,0.227,1,3,3.8,6,2,1
0.899,0.164,0,0,6.4,6,4,0
0.793,0.202,0,0,8.1,7,5,0
0.632,0.109,0,0,5.7,5,1,0
0.368,0.026,0,0,4.4,3,2,0
0.644,0.202,1,1,5.1,5,4,1
0.631,0.055,0,0,4.5,5,2,0
0.421,0.295,0,0,2.9,5,5,0
0.604,0.358,0,0,6.5,3,3,0
0.579,0.473,0,0,4.3,7,2,0
0.731,0.188,1,3,7.1,3,2,1
0.745,0.109,0,0,6.0,4,1,0
0.332,0.215,0,0,3.7,7,5,0
0.562,0.156,0,0,5.3,4,2,0
0.738,0.175,0,0,5.9,4,5,0
0.652,0.345,1,2,4.3,4,1,1
0.9,0.155,0,0,6.6,6,5,0
0.761,0.147,0,0,7.2,2,1,0
0.414,0.088,1,3,5.1,2,1,1
0.349,0.18,0,0,3.2,4,4,0
0.75,0.363,0,0,6.3,4,5,0
0.319,0.123,0,0,2.7,1,3,0
0.71,0.326,1,4,5.1,8,4,1
0.958,0.169,0,0,5.8,2,1,0
0.703,0.329,0,0,7.8,8,3,0
0.572,0.292,0,0,4.3,8,2,0
0.75,0.076,0,0,5.4,1,2,0
0.621,0.313,0,0,4.8,8,4,0
0.682,0.057,0,0,4.6,7,3,0
0.959,0.067,0,0,8.3,1,5,0
0.57,0.135,0,0,3.7,8,3,0
0.973,0.415,0,0,6.4,8,4,0
0.934,0.249,1,1,8.2,5,5,0
0.437,0.088,1,1,4.0,8,5,1
0.349,0.04,0,0,4.9,6,2,0
0.371,0.273,0,0,4.5,7,3,0
0.313,0.201,0,0,2.9,3,5,0
0.366,0.223,0,0,4.8,2,4,0
0.778,0.243,1,1,5.1,4,2,1
0.35,0.36,0,0,4.2,8,5,0
0.523,0.175,0,0,4.9,7,3,0
0.891,0.332,1,1,6.4,4,2,0
0.316,0.099,0,0,4.3,3,3,0
0.87,0.04,0,0,8.7,7,3,0
0.497,0.298,0,0,7.0,2,3,0
0.383,0.078,0,0,4.7,7,2,0
0.788,0.215,0,0,6.3,4,5,0
0.74,0.391,1,4,5.3,4,1,1
0.914,0.046,1,1,6.5,5,5,0
0.815,0.22,0,0,6.8,8,2,0
0.862,0.039,1,4,6.6,1,1,1
0.497,0.176,0,0,6.6,7,1,0
0.424,0.01,1,4,4.0,4,1,1
0.825,0.057,0,0,6.4,6,4,0
0.865,0.111,1,1,6.7,2,2,0
0.993,0.036,1,4,9.3,6,4,0
0.589,0.244,0,0,6.1,3,1,0
0.56,0.228,1,2,5.8,7,4,1
0.843,0.423,1,4,6.4,5,4,1
0.539,0.073,1,2,6.5,2,2,1
0.952,0.144,0,0,5.9,5,3,0
0.901,0.052,1,4,8.9,1,4,0
0.6,0.118,1,3,5.7,4,4,1
0.826,0.466,0,0,6.5,8,1,0
0.828,0.282,1,2,7.0,2,1,1
0.372,0.075,0,0,4.9,3,1,0
0.932,0.021,0,0,5.6,8,5,0
0.654,0.019,0,0,7.4,7,4,0
0.879,0.241,0,0,7.1,1,1,0
0.524,0.109,0,0,4.5,1,2,0
0.927,0.5,0,0,6.1,5,5,0
0.572,0.143,1,2,5.2,1,3,1
0.308,0.12,0,0,3.8,2,4,0
0.934,0.051,0,0,7.2,5,4,0
0.364,0.32,0,0,4.9,8,2,0
0.524,0.143,0,0,4.8,1,3,0
0.965,0.145,1,1,9.6,7,3,0
0.965,0.196,0,0,8.2,8,5,0
0.701,0.158,1,3,7.4,3,4,1
0.742,0.254,0,0,4.9,7,1,0
0.614,0.06,0,0,5.3,6,2,0
0.505,0.132,0,0,4.4,2,2,0
0.53,0.127,0,0,5.5,3,2,0
0.771,0.276,0,0,8.1,3,2,0
0.827,0.35,0,0,5.3,5,1,0
0.854,0.085,0,0,5.4,4,1,0
0.853,0.305,1,2,8.5,5,5,0
0.364,0.054,0,0,3.0,2,4,0
0.646,0.175,0,0,6.6,2,1,0
0.34,0.175,0,0,4.2,5,5,0
0.685,0.351,0,0,7.4,4,3,0
0.609,0.267,1,2,4.2,7,4,1
0.921,0.064,0,0,6.0,5,1,0
0.546,0.274,0,0,5.5,2,3,0
0.382,0.216,1,2,6.1,4,5,1
0.4,0.419,0,0,4.1,2,1,0
0.833,0.12,0,0,6.3,4,1,0
0.733,0.151,0,0,6.8,4,3,0
0.371,0.422,0,0,5.9,8,1,0
0.359,0.354,1,1,5.5,5,2,1
0.791,0.066,1,1,8.7,5,1,0
0.351,0.184,1,4,2.2,5,4,1
0.875,0.233,0,0,5.7,4,3,0
0.794,0.265,0,0,7.2,4,4,0
0.357,0.071,1,4,5.4,2,5,1
0.359,0.419,0,0,3.3,3,4,0
0.991,0.039,0,0,6.9,5,2,0
0.562,0.086,0,0,6.5,8,2,0
0.559,0.397,0,0,3.6,6,4,0
0.869,0.19,0,0,6.7,2,5,0
0.963,0.185,1,1,7.8,2,1,0
0.99,0.169,1,1,8.2,1,2,0
0.827,0.09,0,0,7.9,5,4,0
0.563,0.047,0,0,4.8,7,4,0
0.358,0.219,0,0,4.6,2,4,0
0.844,0.226,1,3,7.4,1,1,1
0.691,0.227,0,0,6.3,6,3,0
0.597,0.105,0,0,6.1,8,5,0
0.934,0.074,0,0,6.6,6,3,0
0.378,0.164,0,0,2.6,7,5,0
0.645,0.469,0,0,4.3,5,5,0
0.308,0.178,1,3,2.7,4,4,1
0.628,0.143,0,0,5.8,1,2,0
0.339,0.166,0,0,5.4,4,4,0
0.383,0.18,0,0,5.1,6,1,0
0.382,0.396,0,0,5.4,6,5,0
0.754,0.263,1,1,5.9,3,2,1
0.822,0.11,0,0,6.6,3,5,0
0.708,0.128,1,4,5.8,8,5,1
0.974,0.179,0,0,6.6,7,4,0
0.562,0.206,0,0,3.6,3,2,0
0.5,0.084,0,0,5.4,3,2,0
0.908,0.135,0,0,9.4,7,5,0
0.457,0.449,0,0,3.4,2,2,0
0.974,0.381,1,2,6.0,3,2,0
0.309,0.157,0,0,5.0,2,4,0
0.979,0.121,0,0,6.9,2,3,0
0.33,0.282,1,1,5.3,5,1,1
0.924,0.032,1,3,8.4,2,3,0
0.669,0.384,0,0,7.8,2,2,0
0.995,0.117,1,4,7.6,3,5,0
0.352,0.24,0,0,4.8,2,1,0
0.688,0.05,0,0,6.0,4,1,0
0.979,0.298,1,1,8.4,7,5,0
0.666,0.253,0,0,5.8,3,1,0
0.741,0.232,0,0,5.2,7,5,0
0.787,0.083,0,0,6.8,1,1,0
0.618,0.127,1,2,5.8,3,3,1
0.739,0.222,1,2,7.7,2,1,1
0.709,0.101,0,0,7.2,4,4,0
0.931,0.109,0,0,8.2,7,5,0
0.332,0.35,0,0,2.4,3,1,1
0.497,0.03,0,0,5.9,4,5,0
0.965,0.34,0,0,7.8,7,4,0
0.923,0.087,1,4,9.1,1,1,0
0.619,0.301,0,0,7.4,6,1,0
0.734,0.477,0,0,4.6,8,4,0
0.494,0.244,0,0,6.2,8,4,0
0.432,0.246,0,0,2.7,1,4,0
0.625,0.104,1,2,5.2,6,5,1
0.547,0.168,0,0,5.5,5,4,0
0.709,0.084,0,0,4.8,6,5,0
0.354,0.067,0,0,5.1,5,3,0
0.982,0.405,0,0,5.9,3,1,0
0.99,0.454,0,0,6.6,5,1,0
0.789,0.2,0,0,7.1,8,2,0
0.675,0.174,0,0,6.9,8,3,0
0.517,0.145,0,0,6.8,4,4,0
0.87,0.02,0,0,8.0,5,4,0
0.779,0.355,0,0,7.4,4,3,0
0.414,0.3,1,1,4.1,8,4,1
0.938,0.121,0,0,5.6,7,2,0
0.876,0.289,0,0,5.7,7,5,0
0.965,0.059,0,0,7.9,6,1,0
0.808,0.23,0,0,7.5,6,3,0
0.729,0.355,1,1,6.0,6,1,1
0.593,0.257,0,0,6.5,5,5,0
0.953,0.243,0,0,7.8,6,3,0
0.906,0.149,0,0,5.7,5,5,0
0.332,0.402,0,0,2.8,5,4,0
0.318,0.287,1,2,5.3,2,4,1
0.564,0.125,0,0,6.3,2,4,0
0.867,0.074,0,0,8.8,5,5,0
0.991,0.429,0,0,6.4,7,5,0
0.405,0.271,0,0,6.4,4,5,0
0.716,0.209,0,0,5.1,8,1,0
0.567,0.065,1,2,3.4,8,5,1
0.979,0.082,0,0,9.9,3,4,0
0.889,0.328,1,3,6.5,1,2,1
0.887,0.023,0,0,8.0,2,5,0
0.628,0.035,0,0,4.5,5,2,0
0.59,0.131,0,0,5.9,1,4,0
0.491,0.175,1,4,6.6,2,5,1
0.339,0.333,0,0,3.3,3,1,1
0.905,0.137,0,0,8.1,8,1,0
0.869,0.31,0,0,6.0,4,2,0
1.0,0.315,0,0,8.5,5,1,0
0.998,0.295,0,0,7.3,3,1,0
0.689,0.336,1,2,5.0,8,1,1
0.838,0.335,1,2,6.3,7,4,0
0.961,0.047,0,0,6.5,2,1,0
0.895,0.201,1,1,9.0,5,3,0
0.473,0.472,0,0,4.4,1,5,0
0.615,0.426,0,0,4.7,7,1,0
0.39,0.121,0,0,4.1,8,1,0
0.968,0.314,0,0,7.1,7,1,0
0.724,0.128,1,3,7.3,6,3,1
0.46,0.308,0,0,6.6,4,1,0
0.77,0.156,0,0,6.4,8,1,0
0.733,0.29,0,0,7.8,7,5,0
0.551,0.284,0,0,5.6,2,3,0
0.379,0.195,0,0,2.9,4,3,0
0.77,0.058,1,4,7.4,5,1,1
0.664,0.317,1,2,6.0,6,3,1
0.841,0.165,1,3,7.6,8,2,0
0.664,0.132,0,0,7.5,3,3,0
0.897,0.197,0,0,7.1,4,3,0
0.686,0.26,0,0,7.7,1,3,0
0.693,0.162,0,0,7.2,2,4,0
0.914,0.149,0,0,7.4,8,4,0
0.582,0.096,1,3,5.9,1,4,1
0.394,0.157,0,0,3.7,4,3,0
0.32,0.291,0,0,5.9,8,2,0
0.829,0.227,0,0,7.6,6,3,0
0.734,0.127,0,0,4.6,3,1,0
0.793,0.293,0,0,6.1,3,2,0
0.449,0.219,1,4,5.2,1,4,1
0.395,0.201,0,0,2.6,5,5,0
0.31,0.344,1,1,2.0,5,2,1
0.545,0.244,0,0,5.1,6,4,0
0.713,0.286,0,0,5.6,3,2,0
0.575,0.319,0,0,5.2,1,2,0
0.606,0.088,1,3,4.7,1,3,1
0.933,0.086,1,2,6.3,8,1,0
0.544,0.359,0,0,6.0,8,5,0
0.66,0.043,0,0,6.0,1,4,0
0.849,0.091,0,0,5.9,8,2,0
0.578,0.175,0,0,4.7,4,5,0
0.735,0.252,1,3,6.8,8,2,1
0.904,0.181,0,0,5.7,6,1,0
0.965,0.211,0,0,6.4,5,5,0
0.403,0.123,0,0,2.7,5,4,0
0.949,0.5,0,0,8.9,4,2,0
0.644,0.16,0,0,6.9,2,1,0
0.481,0.24,0,0,5.9,4,5,0
0.621,0.063,0,0,6.6,6,2,0
0.986,0.149,0,0,8.6,1,2,0
0.645,0.341,0,0,5.8,4,4,0
0.53,0.09,1,2,5.7,1,1,1
0.743,0.4,0,0,4.6,6,3,0
0.468,0.16,0,0,5.3,7,2,0
0.353,0.245,0,0,5.2,6,5,0
0.39,0.086,0,0,4.3,3,4,0
0.39,0.183,0,0,3.8,1,4,0
0.406,0.404,0,0,3.5,5,2,0
0.397,0.357,0,0,5.0,4,2,0
0.749,0.177,1,3,7.3,7,2,1
0.427,0.159,0,0,6.0,6,3,0
0.542,0.173,0,0,4.6,1,2,0
0.928,0.238,0,0,8.6,7,1,0
0.632,0.418,0,0,6.0,2,5,0
0.767,0.114,0,0,8.1,3,2,0
0.421,0.106,1,3,4.6,2,3,1
0.435,0.143,0,0,4.7,6,5,0
0.329,0.068,0,0,4.3,2,4,0
0.418,0.273,0,0,5.5,2,2,0
0.495,0.05,0,0,6.8,3,5,0
0.424,0.419,0,0,2.8,3,4,0
0.362,0.174,0,0,2.4,8,3,0
0.384,0.259,0,0,6.1,3,1,0
0.623,0.028,0,0,5.9,7,2,0
0.444,0.283,0,0,5.1,8,1,0
0.555,0.231,1,1,5.3,3,3,1
0.652,0.248,0,0,4.3,2,5,0
0.783,0.16,1,1,7.8,5,5,0
0.328,0.322,1,1,5.0,5,3,1
0.86,0.083,0,0,6.4,8,3,0
0.74,0.228,0,0,5.7,3,2,0
0.357,0.038,0,0,5.5,7,4,0
0.912,0.077,0,0,5.8,4,1,0
0.945,0.365,0,0,9.2,1,1,0
0.343,0.115,1,2,3.1,6,5,1
0.494,0.086,1,3,5.3,7,5,1
0.864,0.146,0,0,8.9,4,2,0
0.824,0.367,0,0,7.7,6,3,0
0.429,0.129,0,0,4.2,4,1,0
0.447,0.468,1,4,5.4,4,2,1
0.559,0.109,0,0,4.7,8,5,0
0.639,0.304,0,0,4.9,5,5,0
0.733,0.187,0,0,8.4,1,1,0
0.558,0.148,0,0,6.4,4,5,0
0.624,0.221,1,2,6.3,3,5,1
0.823,0.063,0,0,6.4,6,4,0
0.326,0.141,0,0,2.2,7,3,0
0.477,0.14,1,1,3.0,5,5,1
0.799,0.204,0,0,7.0,6,4,0
